languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Kwakw'ala,Kwakw'ala,kwk,Northern Wakashan,Wakashan,51d N,51,127d W,-127,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Halkomelem (Upriver),Halkomelem (Upriver),hur,Central Salish,Salishan,49d30 N,49.5,121d W,-121,,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Musqueam,Musqueam,hur,Central Salish,Salishan,49d10 N,49.1666666666667,123d W,-123,Dem-Num-A-N,,,,,,,,,
Thompson,Thompson,thp,Interior Salish,Salishan,49d45 N,49.75,121d45 W,-121.75,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Yuchi,Yuchi,yuc,Yuchi,Yuchi,35d45 N,35.75,86d45 W,-86.75,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mandan,Mandan,mhq,Core Siouan,Siouan,47d N,47,102d W,-102,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Assiniboine,Assiniboine,asb,Core Siouan,Siouan,49d N,49,104d W,-104,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Lakhota,Lakhota,lkt,Core Siouan,Siouan,43d50 N,43.8333333333333,101d50 W,-101.833333333333,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Osage,Osage,osa,Core Siouan,Siouan,37d N,37,94d W,-94,,,,,,Adj is not verb & NAdj,,,,
Wichita,Wichita,wic,Caddoan,Caddoan,33d20 N,33.3333333333333,97d20 W,-97.3333333333333,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Cherokee,Cherokee,chr,Southern Iroquoian,Iroquoian,35d30 N,35.5,80d W,-80,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Gitksan,Gitksan,git,Tsimshianic,Penutian,55d20 N,55.3333333333333,127d45 W,-127.75,,,,,,Adj is verb & AdjN,,,,
Tsimshian (Coast),Tsimshian (Coast),tsi,Tsimshianic,Penutian,52d30 N,52.5,129d W,-129,Num-A-N-Dem,Adj is not verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Chinook (Lower),Chinook (Lower),chh,Chinookan,Penutian,45d40 N,45.6666666666667,121d10 W,-121.166666666667,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Klamath,Klamath,kla,Klamath-Modoc,Penutian,42d30 N,42.5,121d30 W,-121.5,,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Klikitat,Klikitat,yak,Sahaptian,Penutian,45d50 N,45.8333333333333,120d50 W,-120.833333333333,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Yakima,Yakima,yak,Sahaptian,Penutian,46d20 N,46.3333333333333,121d W,-121,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Nez Perce,Nez Perce,nez,Sahaptian,Penutian,46d N,46,116d W,-116,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Wikchamni,Wikchamni,yok,Yokuts,Penutian,36d25 N,36.4166666666667,119d05 W,-119.083333333333,,,,,,Adj is not verb & AdjN,,,,
Takelma,Takelma,tkm,Takelma,Takelma,42d30 N,42.5,123d W,-123,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Coos (Hanis),Coos (Hanis),csz,Coosan,Oregon Coast,43d30 N,43.5,124d10 W,-124.166666666667,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Siuslaw,Siuslaw,sis,Siuslawan,Oregon Coast,44d N,44,124d W,-124,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Zuni,Zuni,zun,Zuni,Zuni,35d05 N,35.0833333333333,108d50 W,-108.833333333333,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Choctaw,Choctaw,cho,Muskogean,Muskogean,32d15 N,32.25,88d30 W,-88.5,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Chickasaw,Chickasaw,cic,Muskogean,Muskogean,34d N,34,88d W,-88,N-A-Num-Dem,,,,,,,,,
Creek,Creek,mus,Muskogean,Muskogean,34d N,34,85d W,-85,Dem-N-A-Num,Adj is verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Seminole,Seminole,mus,Muskogean,Muskogean,33d N,33,84d W,-84,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Wappo,Wappo,wao,Wappo,Wappo-Yukian,38d30 N,38.5,122d30 W,-122.5,Dem-N-Num-A,Adj is not verb & Adj further from noun than Num,,,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Totonac (Misantla),Totonac (Misantla),tlc,Totonacan,Totonacan,19d55 N,19.9166666666667,96d55 W,-96.9166666666667,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tepehua (Huehuetla),Tepehua (Huehuetla),tee,Totonacan,Totonacan,20d30 N,20.5,98d W,-98,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Tepehua (Tlachichilco),Tepehua (Tlachichilco),tpt,Totonacan,Totonacan,20d35 N,20.5833333333333,98d15 W,-98.25,,,,,,Adj is not verb & AdjN,,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Mixe (Ayutla),Mixe (Ayutla),mxp,Mixe-Zoque,Mixe-Zoque,17d05 N,17.0833333333333,96d05 W,-96.0833333333333,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Olutec,Olutec,plo,Mixe-Zoque,Mixe-Zoque,17d57 N,17.95,95d W,-95,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Popoluca (Sierra),Popoluca (Sierra),poi,Mixe-Zoque,Mixe-Zoque,18d20 N,18.3333333333333,95d10 W,-95.1666666666667,Num-Dem-A-N,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Zoque (Copainal�),Zoque (Copainal�),zoc,Mixe-Zoque,Mixe-Zoque,17d N,17,93d15 W,-93.25,,,,,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Zoque (Chimalapa),Zoque (Chimalapa),zoh,Mixe-Zoque,Mixe-Zoque,16d45 N,16.75,94d45 W,-94.75,,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Huastec,Huastec,hus,Mayan,Mayan,22d05 N,22.0833333333333,99d20 W,-99.3333333333333,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Huastec (Southeastern),Huastec (Southeastern),hus,Mayan,Mayan,21d43d N,21.7166666666667,98d30 W,,Dem-Num-A-N,,,,,,,,,
Lacandon,Lacand�n,lac,Mayan,Mayan,17d N,17,91d30 W,-91.5,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Itzaj,Itzaj,itz,Mayan,Mayan,17d N,17,89d50 W,-89.8333333333333,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chol,Chol,ctu,Mayan,Mayan,17d45 N,17.75,92d30 W,-92.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chontal Maya,Chontal Maya,chf,Mayan,Mayan,18d10 N,18.1666666666667,92d35 W,-92.5833333333333,,,,,Lg has numeral classifiers & Adj closer to noun than Num,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chortí,Chort�,caa,Mayan,Mayan,14d50 N,14.8333333333333,89d15 W,-89.25,Num-A-N-Dem,,,,,,,,,
Tzeltal,Tzeltal,tzh,Mayan,Mayan,17d N,17,92d20 W,-92.3333333333333,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chuj,Chuj,cac,Mayan,Mayan,15d55 N,15.9166666666667,91d35 W,-91.5833333333333,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,,,
Jakaltek,Jakaltek,jac,Mayan,Mayan,15d40 N,15.6666666666667,91d40 W,-91.6666666666667,Num-A-N-Dem,Adj is not verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Kanjobal (Western),Kanjobal (Western),knj,Mayan,Mayan,15d50 N,15.8333333333333,91d50 W,-91.8333333333333,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Mam,Mam,mam,Mayan,Mayan,15d N,15,91d50 W,-91.8333333333333,Dem-Num-N-A,,,,,,,,,
Ixil,Ixil,ixl,Mayan,Mayan,15d30 N,15.5,91d W,-91,Dem-Num-A-N,,,,,,,,,
Sipakapense,Sipakapense,qum,Mayan,Mayan,15d15 N,15.25,91d45 W,-91.75,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Karok,Karok,kyh,Karok,Karok,41d40 N,41.6666666666667,123d W,-123,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NumN
Chimariko,Chimariko,cid,Chimariko,Hokan,41d N,41,123d W,-123,,,,,,Adj is verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Seri,Seri,sei,Seri,Hokan,29d N,29,112d W,-112,,,Adj is verb & Adj closer to noun than Dem,,,,,,,
Kiliwa,Kiliwa,klb,Yuman,Hokan,31d20 N,31.3333333333333,115d40 W,-115.666666666667,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Cocopa,Cocopa,coc,Yuman,Hokan,32d20 N,32.3333333333333,115d W,-115,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Maricopa,Maricopa,mrc,Yuman,Hokan,33d10 N,33.1666666666667,113d10 W,-113.166666666667,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Washo,Washo,was,Washo,Washo,39d15 N,39.25,120d W,-120,,,,,,Adj is verb & AdjN,,,,
Chontal (Huamelultec Oaxaca),Chontal (Huamelultec Oaxaca),clo,Tequistlatecan,Tequistlatecan,16d N,16,95d45 W,-95.75,,,,,,Adj is not verb & AdjN,,,,
Tonkawa,Tonkawa,tqw,Tonkawa,Tonkawa,30d15 N,30.25,96d45 W,-96.75,,,,,,Adj is not verb & NAdj,,,,
Tol,Tol,jic,Tol,Tol,15d N,15,87d W,-87,,,,,,Adj is not verb & NAdj,,,,
Pame (Southern),Pame (Southern),pmz,Pamean,Oto-Manguean,22d N,22,99d30 W,-99.5,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Otomi (Mezquital),Otom� (Mezquital),ote,Otomian,Oto-Manguean,20d N,20,99d W,-99,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Otomi (Santiago Mexquititlan),Otom� (Santiago Mexquititlan),otq,Otomian,Oto-Manguean,20d05 N,20.0833333333333,100d05 W,-100.083333333333,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Ocuilteco,Ocuilteco,ocu,Matlatzincan,Oto-Manguean,18d55 N,18.9166666666667,99d40 W,-99.6666666666667,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Chichimeca-Jonaz,Chichimeca-Jonaz,pei,Chichimec,Oto-Manguean,22d N,22,100d30 W,-100.5,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Amuzgo,Amuzgo,amu,Amuzgoan,Oto-Manguean,16d50 N,16.8333333333333,98d W,-98,Num-N-A-Dem,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Trique (Copala),Trique (Copala),trc,Mixtecan,Oto-Manguean,17d10 N,17.1666666666667,97d55 W,-97.9166666666667,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Mixtec (Atatlahuca),Mixtec (Atatlahuca),mib,Mixtecan,Oto-Manguean,17d N,17,97d45 W,-97.75,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NumN
Mixtec (Jicaltepec),Mixtec (Jicaltepec),mio,Mixtecan,Oto-Manguean,16d20 N,16.3333333333333,98d W,-98,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Mixtec (Ocotepec),Mixtec (Ocotepec),mie,Mixtecan,Oto-Manguean,17d10 N,17.1666666666667,97d45 W,-97.75,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Mixtec (Diuxi-Tilantongo),Mixtec (Diuxi-Tilantongo),xtd,Mixtecan,Oto-Manguean,17d22 N,17.3666666666667,97d23 W,-97.3833333333333,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Mixtec (Peñoles),Mixtec (Pe�oles),mil,Mixtecan,Oto-Manguean,17d05 N,17.0833333333333,96d55 W,-96.9166666666667,,,,,,Adj is not verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Mixtec (Yosondúa),Mixtec (Yosond�a),mpm,Mixtecan,Oto-Manguean,19d55 N,19.9166666666667,97d35 W,-97.5833333333333,Num-N-A-Dem,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Mazatec (Chiquihuitl�n),Mazatec (Chiquihuitl�n),maq,Popolocan,Oto-Manguean,17d45 N,17.75,96d55 W,-96.9166666666667,Num-N-A-Dem,,,,,,,,,
Chinantec (Comaltepec),Chinantec (Comaltepec),cco,Chinantecan,Oto-Manguean,17d35 N,17.5833333333333,96d25 W,-96.4166666666667,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Chinantec (Lealao),Chinantec (Lealao),cle,Chinantecan,Oto-Manguean,17d20 N,17.3333333333333,95d55 W,-95.9166666666667,Num-N-A-Dem,,,,,,,,,
Chinantec (Palantla),Chinantec (Palantla),cpa,Chinantecan,Oto-Manguean,18d50 N,18.8333333333333,96d45 W,-96.75,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Chinantec (Tepetotutla),Chinantec (Tepetotutla),cnt,Chinantecan,Oto-Manguean,17d50 N,17.8333333333333,96d30 W,-96.5,Num-N-A-Dem,,,,,,,,,
Chatino (Sierra Occidental),Chatino (Sierra Occidental),ctp,Zapotecan,Oto-Manguean,16d15 N,16.25,96d40 W,-96.6666666666667,Num-N-A-Dem,,,,,,,,,
Chatino (Yaitepec),Chatino (Yaitepec),ctp,Zapotecan,Oto-Manguean,16d15 N,16.25,97d15 W,-97.25,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Zapotec (Isthmus),Zapotec (Isthmus),zai,Zapotecan,Oto-Manguean,16d25 N,16.4166666666667,95d W,-95,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Zapotec (Juarez),Zapotec (Juarez),zaa,Zapotecan,Oto-Manguean,17d30 N,17.5,96d35 W,-96.5833333333333,Num-N-A-Dem,,,,,,,,,
Zapotec (Zoogocho),Zapotec (Zoogocho),zpq,Zapotecan,Oto-Manguean,17d13 N,17.2166666666667,96d25 W,-96.4166666666667,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Tlapanec,Tlapanec,tcf,Subtiaba-Tlapanec,Oto-Manguean,17d30 N,17.5,100d W,-100,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Towa,Towa,tow,Kiowa-Tanoan,Kiowa-Tanoan,35d50 N,35.8333333333333,107d W,-107,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Paiute (Northern),Paiute (Northern),pao,Numic,Uto-Aztecan,42d N,42,118d W,-118,,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Shoshone,Shoshone,shh,Numic,Uto-Aztecan,41d N,41,114d W,-114,,,,,,Adj is not verb & AdjN,,,,
Tümpisa Shoshone,T�mpisa Shoshone,par,Numic,Uto-Aztecan,37d N,37,117d W,-117,,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Ute,Ute,ute,Numic,Uto-Aztecan,38d N,38,113d W,-113,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Luiseno,Luise�o,lui,Takic,Uto-Aztecan,33d N,33,117d30 W,-117.5,Dem-Num-N-A,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Cupeño,Cupe�o,cup,Takic,Uto-Aztecan,33d15 N,33.25,116d40 W,-116.666666666667,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & NAdj & NumN
O'odham,O'odham,ood,Tepiman,Uto-Aztecan,32d N,32,112d W,-112,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Nevome,Nevome,pia,Tepiman,Uto-Aztecan,28d N,28,108d W,-108,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Pima Bajo,Pima Bajo,pia,Tepiman,Uto-Aztecan,28d45 N,28.75,111d W,-111,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Tepehuan (Southeastern),Tepehuan (Southeastern),stp,Tepiman,Uto-Aztecan,26d N,26,104d W,-104,,,,,,Adj is verb & NAdj,,,,
Tarahumara (Western),Tarahumara (Western),tac,Tarahumaran,Uto-Aztecan,27d N,27,108d W,-108,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Tarahumara (Central),Tarahumara (Central),tar,Tarahumaran,Uto-Aztecan,27d30 N,27.5,107d30 W,-107.5,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,
Yaqui,Yaqui,yaq,Cahita,Uto-Aztecan,28d N,28,110d W,-110,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Nahuatl (Huasteca),Nahuatl (Huasteca),nhe,Aztecan,Uto-Aztecan,21d N,21,99d W,-99,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Nahuatl (Michoac�n),Nahuatl (Michoac�n),ncl,Aztecan,Uto-Aztecan,18d30 N,18.5,103d W,-103,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Nahuatl (Tetelcingo),Nahuatl (Tetelcingo),nhg,Aztecan,Uto-Aztecan,19d N,19,99d W,-99,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Cora,Cora,crn,Corachol,Uto-Aztecan,22d30 N,22.5,105d W,-105,,,,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Tubar,Tubar,tbu,Tubar,Uto-Aztecan,27d N,27,108d W,-108,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Purepecha,Pur�pecha,tsz,Tarascan,Tarascan,20d N,20,102d W,-102,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Xinca (Guazacap�n),Xinca (Guazacap�n),xin,Xincan,Xincan,14d05 N,14.0833333333333,90d25 W,-90.4166666666667,Num-A-N-Dem,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Miskito,Miskito,miq,Misumalpan,Misumalpan,14d N,14,84d W,-84,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NumN
Mayangna,Mayangna,yan,Misumalpan,Misumalpan,13d N,13,84d30 W,-84.5,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
