N|Uuki,ngh,Tuu,Tuu,29d43S,19d05E,,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mani,buy,Mel,Niger-Congo,9dN,13d10W,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kisi,kiz,Mel,Niger-Congo,8d50N,10d10W,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fulfulde (Nigerian),fuv,Peul-Serer,Niger-Congo,10d15N,11d15E,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Fulfulde (Adamawa),fub,Peul-Serer,Niger-Congo,9d10N,13d30E,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Wolof,wof,Wolof,Niger-Congo,15d15N,16dW,Num-N-A-Dem,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Ndut,ndv,Cangin,Niger-Congo,14d55N,16d55W,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Noon,snf,Cangin,Niger-Congo,14d50N,16d50W,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Diola-Fogny,dyo,Bak,Niger-Congo,13dN,16d15W,N-Dem-A-Num,,,,,,,,,
Ijo (Kolokuma),ijc,Ijoid,Ijoid,4d55N,5d40E,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Katla,kcr,Katla-Tima,Kordofanian,11d45N,29d20E,,,,,,Adj is verb & NAdj,,,,
Tima,tms,Katla-Tima,Kordofanian,11d40N,29d15E,,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Otoro,otr,Heiban,Kordofanian,11d10N,30d30E,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Moro,mor,Heiban,Kordofanian,11dN,30d10E,N-Dem-Num-A,Adj is verb & Adj further from noun than Num,Adj is verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Masakin,jle,Talodi,Kordofanian,10d40N,30dE,,,,,,Adj is verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Dan,dnj,Eastern Mande,Mande,7d30N,8dW,N-Num-A-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mona,moa,Eastern Mande,Mande,7d55N,5d55W,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Busa,bqp,Eastern Mande,Mande,9d40N,4dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Boko,bqc,Eastern Mande,Mande,10d30N,3d30E,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Jeli,jek,Western Mande,Mande,9d30N,5d40W,Dem-N-A-Num,,,,,,,,,
Maninka (Western),mlq,Western Mande,Mande,13dN,11dW,N-A-Dem-Num,,,,,,,,,
Mandinka (Gambian),mnk,Western Mande,Mande,13d25N,16dW,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Xasonga,kao,Western Mande,Mande,14d15N,10d30W,Dem-N-A-Num,,,,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Mauka,mxx,Western Mande,Mande,8d20N,7d30W,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Vai,vai,Western Mande,Mande,6d55N,11d15W,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Jalonke,yal,Western Mande,Mande,10d10N,11dW,Dem-N-A-Num,,,,,,,,,
Bobo Madaré (Southern),bwq,Western Mande,Mande,11d30N,4d25W,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Dzùùngoo,dnn,Western Mande,Mande,11d25N,5dW,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Donno So,dds,Dogon,Dogon,14d20N,3d30W,,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Jamsay,djm,Dogon,Dogon,14d25N,2d30W,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Tommo So,dto,Dogon,Dogon,14d45N,3d15W,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Katcha,xtc,Kadugli,Kadu,10d50N,29d40E,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Krongo,kgo,Kadugli,Kadu,10d30N,30dE,,,,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Koyraboro Senni,ses,Songhay,Songhay,16dN,0dE,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Zarma,dje,Songhay,Songhay,13d50N,2d10E,N-A-Num-Dem,,,,,,,,,
Koyra Chiini,khq,Songhay,Songhay,17dN,3dW,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Tadaksahak,dsq,Songhay,Songhay,16d40N,2d20E,N-Dem-Num-A,Adj is verb & Adj further from noun than Num,Adj is verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Beria,zag,Eastern Saharan,Saharan,16dN,23dE,,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kanuri,knc,Western Saharan,Saharan,12dN,13dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tubu,dzg,Western Saharan,Saharan,16dN,15dE,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Maba,mde,Maban,Maban,13d45N,20d50E,N-Num-A-Dem,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Masalit,mls,Maban,Maban,13d20N,22dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Runga,rou,Maban,Maban,10d20N,21dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,
Fur,fvr,Fur,Fur,13d30N,25dE,Dem-N-Num-A,Adj is not verb & Adj further from noun than Num,,,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nubian (Dongolese),dgl,Nubian,East Sudanic,21d15N,32dE,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Nubian (Kunuz),xnz,Nubian,East Sudanic,24dN,33dE,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Midob,mei,Nubian,East Sudanic,15d5N,26d15E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Murle,mur,Surmic,East Sudanic,6d30N,33d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Baale,koe,Surmic,East Sudanic,6d30N,34d30E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Tennet,tex,Surmic,East Sudanic,4d25N,32d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Majang,mpe,Surmic,East Sudanic,6d45N,35dE,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NNum
Koegu,xwg,Surmic,East Sudanic,7dN,36d05E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mursi,muz,Surmic,East Sudanic,5d35N,36d05E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Gaahmg,tbi,Eastern Jebel,East Sudanic,11d30N,34dE,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Nyimang,nyi,Nyimang,East Sudanic,12d10N,29d20E,,,,,,Adj is not verb & NAdj,,,,
Temein,teq,Temein,East Sudanic,11d55N,29d25E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Tama,tma,Taman,East Sudanic,14d30N,22dE,,,,,,Adj is not verb & NAdj,,,,
Shatt,shj,Daju,East Sudanic,10d50N,30dE,,,,,,,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Laggori,liu,Daju,East Sudanic,11d10N,29d50E,N-Dem-A-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Shilluk,shk,Nilotic,East Sudanic,9d40N,31d45E,,,,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Anywa,anu,Nilotic,East Sudanic,8dN,33d30E,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Luo,luo,Nilotic,East Sudanic,0d30S,34d45E,N-Num-A-Dem,Adj is verb & Adj further from noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Lango,laj,Nilotic,East Sudanic,2d10N,33dE,N-Num-A-Dem,,,,,,,,,
Acholi,ach,Nilotic,East Sudanic,3dN,32d40E,,,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Bari,bfa,Nilotic,East Sudanic,5dN,31d40E,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Maasai,mas,Nilotic,East Sudanic,3dS,36dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Camus,saq,Nilotic,East Sudanic,1d20N,37dE,Dem-N-Num-A,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Nyangatom,nnj,Nilotic,East Sudanic,5d25N,35d40E,N-A-Num-Dem,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Turkana,tuv,Nilotic,East Sudanic,3dN,35d30E,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Sebei,kpz,Nilotic,East Sudanic,1d20N,34d35E,,,,,,Adj is not verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Pokot,pko,Nilotic,East Sudanic,1d30N,35d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ik,ikx,Kuliak,Kuliak,3d45N,34d10E,N-Dem-Num-A,Adj is verb & Adj further from noun than Num,Adj is verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
So,teu,Kuliak,Kuliak,2d35N,34d45E,N-Dem-Num-A,Adj is verb & Adj further from noun than Num,Adj is verb & Adj further from noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Baka (in Sudan),bdh,Bongo-Bagirmi,Central Sudanic,4d50N,29d15E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Ngambay,sba,Bongo-Bagirmi,Central Sudanic,8d40N,16dE,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mbay,myb,Bongo-Bagirmi,Central Sudanic,8d15N,17d30E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kara (in Central African Republic),kah,Bongo-Bagirmi,Central Sudanic,10dN,23dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Yulu,yul,Bongo-Bagirmi,Central Sudanic,8d30N,25d15E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Moru,mgd,Moru-Ma'di,Central Sudanic,4d45N,29d45E,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Logoti,log,Moru-Ma'di,Central Sudanic,3d30N,30dE,N-A-Num-Dem,,,,,,,,,
Lugbara,lgg,Moru-Ma'di,Central Sudanic,3d05N,30d55E,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Ma'di,mhi,Moru-Ma'di,Central Sudanic,3d15N,31d30E,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Mamvu,mdi,Mangbutu-Efe,Central Sudanic,3d15N,29dE,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Mangbetu,mdj,Mangbetu,Central Sudanic,2d30N,26d30E,,,,,,Adj is not verb & NAdj,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Lendu,led,Lendu,Central Sudanic,2dN,30d30E,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Ngiti,niy,Lendu,Central Sudanic,1d20N,30d15E,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Kresh,krs,Kresh,Central Sudanic,8d30N,24d30E,,,,,,,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Aja,aja,Kresh,Central Sudanic,7d20N,25d40E,,,,,,Adj is not verb & AdjN,,,,
Berta,wti,Berta,Berta,10d20N,34d40E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Kunama,kun,Kunama,Kunama,14d30N,37dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
